lambda,phi,x,y,z,r_mean,r_std
-99.77418175686013,-49.6,-701.4308124315282,-4071.7897316293734,-4854.806710546697,0.30924963512837167,0.23814614836977493
-114.08416128488275,-4.4,-2593.8306475647264,-5802.8841625623645,-489.08380430846887,0.6820095732378805,0.22429539726362893
-111.3561805010311,2.02,-2320.10674887966,-5933.568562928826,224.70821708559063,0.6086919643949763,0.10042202727802219
-98.37712867763179,-49.64,-601.4550538595189,-4084.3266599503845,-4857.690042911896,0.43165953928410805,0.26548541257260305
-107.74842652275072,-13.62,-1888.6941444424558,-5900.836946179113,-1501.193779415686,0.368195738277348,0.12643470204890014
-108.84177429716448,24.51,-1873.3186161471278,-5489.714044176114,2644.681847703451,0.9506571932908621,0.23853088147672205
-117.73155379146017,42.43,-2189.5624286914294,-4164.927179817606,4301.142052720354,0.7344444508580854,0.0266363543196787
-114.1950464628139,-14.66,-2527.69746774656,-5625.682697905808,-1613.4015910587368,0.9395869849178912,0.19915193301487746
-103.72696881203227,-23.95,-1382.509910737535,-5659.704696560918,-2587.8628430499903,0.8138045944916623,0.2373872353122827
-120.54218302305006,25.76,-2917.656534785844,-4944.86934990155,2770.5906333173234,0.6894984017517639,0.08067295180727538
-102.73915262127058,-14.58,-1360.4991158599,-6017.83354970866,-1604.788622761669,0.1808588758812032,0.208073729108485
-101.18001495829868,-57.45,-665.0454545316494,-3364.884506500586,-5373.62929511509,0.22393504184848023,0.17588818145112223
-98.93303511890903,-58.0,-524.572345570386,-3337.259004111811,-5406.306612997216,0.9953118164227863,0.046527136162959726
-98.70977712537002,-59.89,-484.2856934837875,-3161.21328930423,-5514.782217514419,0.8464731260009055,0.19761747071830257
-105.12805008238817,-51.96,-1025.2090428935276,-3792.2110840594282,-5020.827273697648,0.49854066766622773,0.05083612050848689
-111.2279855113421,22.22,-2136.8449384142887,-5501.143989454883,2410.795204171777,0.9630651229326463,0.15084576450645953
-106.18344935847331,-44.5,-1267.3032862820867,-4366.794388709095,-4468.29655991155,0.3948321399668703,0.017237249126783115
-125.92525752389821,37.12,-2982.4950484841124,-4116.333790745119,3847.225546928288,0.55787518830921,0.0019332812287063627
-111.89303040177948,40.34,-1811.8479946728967,-4508.698169438408,4126.678163014721,0.3784923887229281,0.13206362944776404
-104.33728775704307,-58.94,-814.4755816642552,-3186.6489003638226,-5461.000211745346,0.09960881110626929,0.1304008840210633
