lambda,phi,x,y,z,r_mean,r_std
-110.32134430275237,-42.13,-1641.9140730966315,-4433.593874859573,-4276.4457823495095,0.602804333994528,0.07116869542627074
-113.23517482907866,-19.65,-2368.5151679330293,-5516.803720088229,-2143.7438310796033,0.4669088877893649,0.11667767803937357
-109.30957551926659,-54.39,-1227.4345979026796,-3503.126071833864,-5182.869575120459,0.7921960431772734,0.15020340282387853
-109.77123326371196,-16.78,-2064.621862356553,-5743.7544683460255,-1840.4472752117688,0.05053268051261328,0.16724483905442403
-128.2817057848162,53.66,-2340.373917065762,-2965.373532277365,5135.156739807181,0.450254948858979,0.04644217448902875
-114.3298889609596,25.35,-2373.533310313922,-5249.4903931853,2729.434966560934,0.268799040672306,0.2578599234995341
-102.95713891880094,-8.75,-1412.779629214909,-6140.373986576587,-969.7865869607189,0.6699462160053602,0.11940233626897338
-119.10274374229171,38.24,-2435.331701780618,-4374.934468295933,3945.8500859027204,0.4833682025780972,0.26828252377311573
-116.71818711744552,16.72,-2745.0387616214102,-5453.588797792298,1834.054639805031,0.8988952706177852,0.25282235144472703
-92.86239407377349,-49.44,-207.00586829088562,-4140.133523237983,-4843.249733418067,0.5597734556957751,0.2327620308595695
-111.17252008147346,-5.26,-2292.8097619279692,-5919.635888083168,-584.4307898507777,0.58696757796118,0.2178493701754823
-121.24694755386662,37.64,-2618.6047888829476,-4315.845552362115,3893.200627734903,0.8969763712001705,0.07549378349745214
-113.51805953736903,5.32,-2532.9099387389833,-5820.276518893899,591.0782400406883,0.6654806240994241,0.24023596624670673
-96.34405260440711,-28.22,-620.6985297686867,-5582.859149098446,-3014.4721024535556,0.8657235235345557,0.10125787354005518
-119.36687982770664,50.4,-1992.778867869602,-3541.3977487327816,4912.021922695657,0.40260939714404076,0.2392076949729345
-115.45829501173291,56.93,-1495.291531109907,-3140.8253582757675,5342.278943091879,0.07291944170688491,0.25514175571566533
-100.30067333065857,-45.65,-796.8616622986636,-4384.553601356465,-4558.653990816879,0.07740064798064206,0.14682581928951072
-102.99439911781141,-1.96,-1432.6171096963492,-6208.115121602417,-218.03635920802355,0.06136900058553452,0.05606654918403524
-117.08620255574588,51.02,-1825.960932585877,-3570.3604051845873,4955.705625817605,0.26992858124182906,0.02945891245513492
-105.4003425721021,-18.77,-1602.9219345856595,-5819.235482163519,-2051.283665111505,0.7892920197981635,0.2297726491963633
-122.0173436800183,47.17,-2297.7225781502216,-3674.6491457579946,4675.259309325927,0.8315808340758267,0.24796733768776433
-112.241000944462,-6.97,-2395.126002609781,-5857.092575965924,-773.603896181596,0.47231899040154834,0.24038925631921743
-120.1504977205721,53.88,-1887.5042132530064,-3249.511483396034,5149.624060475624,0.15230782628573192,0.0647116793838625
-106.09763978412606,-20.43,-1656.4436145208329,-5739.77092971635,-2225.275090027357,0.7730711247971208,0.21921394114166431
-120.75848401810245,59.71,-1644.42243131586,-2763.094400126526,5504.707912630303,0.9527507248996339,0.27776383613973604
-106.30012128020955,15.54,-1723.8542900763584,-5895.07560643577,1707.932955648805,0.6785252359255792,0.2393631379627254
-111.36936052724099,-24.22,-2118.445086397578,-5414.1554552115995,-2615.288917638057,0.3077533509937682,0.12382305689506483
-97.95550480144686,-30.14,-763.0362136191159,-5460.047976930325,-3200.9806038657703,0.6427642726724913,0.16303011927003533
-99.83209402836354,-26.87,-971.072298922612,-5603.194432939106,-2881.2941080260016,0.4522824914669067,0.1608914827450508
-104.97364230614502,3.31,-1644.3906535889612,-6148.261576314975,368.0814686970353,0.18693571253027486,0.03768412875220497
-100.60677271960752,-6.2,-1166.5671199178973,-6229.423694095926,-688.4958926258957,0.22547774627711126,0.10568748180470429
-99.5428642259521,-56.81,-578.555389575487,-3441.4923113314912,-5334.981661846588,0.8062705969997519,0.17961139286769467
-126.4340675730667,41.31,-2843.9217332950284,-3852.603566032884,4208.34646124614,0.24798710405147795,0.2943367658303643
-104.45398487824714,-15.46,-1533.6399494079312,-5949.854146075037,-1699.3555090132647,0.8126114746771428,0.2648647673469689
-108.47128760394978,-4.87,-2012.4956756961171,-6024.747386022685,-541.2070675049035,0.4484965328177585,0.085273282709242
-98.20097101750375,-19.05,-859.564122477778,-5964.245768141831,-2080.756337621314,0.8502650343692595,0.14507922766762224
-111.48417782591885,32.35,-1972.4339834752125,-5011.373266300581,3411.1973215631992,0.5386362265604661,0.02647413945693314
-97.10862812885415,-19.12,-745.3914283997021,-5977.021413588583,-2088.1167687588254,0.19351174326571075,0.04057009370826035
-115.51712553287875,15.92,-2640.898099023941,-5532.501704165134,1748.630070650059,0.5747893981214769,0.2527452187109543
-113.25819893099118,24.83,-2284.622505905768,-5315.505540408953,2677.036767657586,0.22474844103486102,0.05316865203640283
-109.43050637900383,0.57,-2120.6235377450475,-6011.618645014104,63.41985556963653,0.8599275233419467,0.19204720882666995
-115.4503480857808,-6.52,-2721.8024186641783,-5719.1268794464995,-723.8814340390051,0.7120869414600938,0.10897857273400656
-103.3087549227424,8.67,-1450.7456789020891,-6132.900123157663,960.988061590588,0.7684578169120485,0.1439100091791177
-99.14683571827707,-47.6,-683.3400062505481,-4244.016562592245,-4707.65279649001,0.6654836863081076,0.10375119675625183
-106.81383367107932,-43.08,-1346.8963296458448,-4457.246221600379,-4354.245215558685,0.03268146665866756,0.04807876858657743
-108.12857378861632,-31.03,-1699.7281256194726,-5191.555822548382,-3286.228452244626,0.20792752500344924,0.0380358080927408
-114.56579618842507,0.6,-2650.1839987242583,-5797.645486969546,66.75762374106694,0.39872527169549143,0.04322803029025646
-105.3467624784384,-47.09,-1148.7338961722082,-4185.639025542891,-4669.203506342101,0.21773639318954408,0.28610580247612305
-101.12926760161318,5.1,-1225.6513491670487,-6230.349395126045,566.7011425235646,0.5983564727534403,0.24933147845955111
-118.50823594400467,16.38,-2919.1970241127,-5374.6495645662635,1797.791921363325,0.9226273956309043,0.13812521379268236
-99.11346195820722,-52.78,-610.7665902087159,-3807.4147238819314,-5076.532506805398,0.04921618134981742,0.09114507879274361
-111.4805284337186,49.57,-1513.9207999150608,-3847.145440650261,4852.642658394337,0.01891618610337986,0.14215622913310486
-102.3288352486363,-12.37,-1329.6023355850273,-6083.396069497552,-1365.67744757998,0.6183993642901,0.08145599866321927
-99.2645889103692,-15.57,-988.6727428880105,-6060.950547336314,-1711.1486405961143,0.8580922863408722,0.1658425373185757
-101.36350999857808,-36.73,-1006.7054450508952,-5009.165385487373,-3812.5360703526494,0.042578198197784634,0.1820111429091308
-100.21668845241145,-30.19,-977.3716470815673,-5422.939892326964,-3205.7904778213256,0.884367328635704,0.17342447952556755
-109.10620097300848,-43.18,-1521.6126147164373,-4392.617497406077,-4362.3653643657335,0.20496592160162386,0.22470147118693343
-99.601549850158,-2.6,-1062.2261741638763,-6279.225290485464,-289.18904932399283,0.4090471344869411,0.041752825699710484
-118.00489841076002,19.14,-2827.8900718772225,-5317.390951686911,2090.219177095169,0.4886276017976494,0.2358240417413325
-108.10079382467985,-13.72,-1924.1312041340268,-5886.610635203767,-1512.0050723405818,0.14903822114521814,0.04313736702908731
-108.65646400540496,-57.3,-1101.7223062492085,-3263.0606297514596,-5364.631234901327,0.9222913647426503,0.20975968417020238
-110.37724759927657,15.07,-2143.433391328014,-5770.531533600132,1657.4933232645603,0.5574367317992387,0.2689964608425633
-116.30019530623649,-1.36,-2823.802641993194,-5713.48144153258,-151.30583708189025,0.7677080565689288,0.008361985533898941
-114.96613088828371,18.75,-2547.9764716895165,-5472.596842208768,2049.176591307655,0.3077914812842991,0.20034436683530726
-109.51351078476634,-53.12,-1277.9617788042738,-3606.1500446705686,-5099.325499243785,0.01883006699844514,0.12330096525297456
