lambda,phi,x,y,z,r_mean,r_std,id
-101.3320034613005,-46.72,-858.7709199912272,-4285.270116740164,-4641.077195388068,0.7243774457619154,0.20502590933448336,1
-114.07292723498254,28.77,-2279.365576112671,-5102.051919857233,3068.2541904988384,0.38849273476649493,0.13133282042520927,2
-113.48501574966738,-10.35,-2499.1589300158985,-5751.785129439758,-1145.3372722816023,0.3919586469948383,0.15247349089939127,3
-99.67697432571096,-11.7,-1049.329669770926,-6153.7208692268005,-1292.7690078977669,0.48349072381921665,0.2724910200802888,4
-104.63717514562614,-0.81,-1610.7835605791672,-6167.485666583851,-90.12143724245868,0.11559226297074954,0.12985826553068408,5
-117.28669239371362,14.84,-2825.0920612771342,-5476.636234218687,1632.7692437548778,0.9549272581935689,0.08184207530535607,6
-116.08785871745384,-5.57,-2790.1623555200845,-5698.4861227751235,-618.768889310022,0.6426340946833238,0.2228104405171077,7
-97.80941643985531,-45.09,-611.5505315844343,-4458.9775069918915,-4514.881010553785,0.5961802860664022,0.2868320897588333,8
-112.10135927141194,27.4,-2129.4871743889935,-5243.937611545525,2933.773627997054,0.18194316478376038,0.008988582408436108,9
-127.22936289616663,53.59,-2289.311646556896,-3012.8493118842425,5130.5376140145,0.3289840923200378,0.2869842670258494,10
-116.64661128163148,52.27,-1749.6015025732206,-3486.7856269615627,5042.008089423081,0.5314300201666805,0.2655914022864979,11
-112.36509371699651,17.78,-2309.869831410773,-5613.8693908757205,1946.6886818716143,0.536111298262807,0.028322944521314584,12
-114.34567963570598,13.7,-2553.265517984914,-5642.856879537949,1509.843181168319,0.7810408285543143,0.15107228358839367,13
-113.30002519946783,-16.56,-2417.013483397792,-5612.235724044573,-1816.9977982460978,0.7038575619467853,0.2660789103297529,14
-104.1152433414269,-48.8,-1024.0583074277752,-4072.3612195925693,-4796.645044210243,0.0877850336652517,0.1795493082878432,15
-108.24790675782472,10.48,-1962.8984178926326,-5953.40806486264,1159.5633722496962,0.07537750676332633,0.19961602201066161,16
-93.33052685098122,-44.63,-263.57087150822235,-4529.159006308861,-4478.601800926683,0.4522222243254772,0.17841355779292184,17
-124.74149236516713,51.05,-2283.825796919522,-3293.16527452212,4957.8046758627515,0.4544175602729378,0.2344609114766935,18
-105.07734761095958,-34.78,-1362.0278217559398,-5055.846164253663,-3636.4714733054475,0.6276635873298931,0.029948563955625184,19
-107.70704913792616,-44.99,-1371.2895808106957,-4294.993656872984,-4507.018900890129,0.874319872403229,0.032236126519044325,20
-117.52079225230334,19.06,-2784.2075574853548,-5343.677446500612,2081.808018190472,0.36902417874262183,0.0019404216621731973,21
-92.2812836626476,-49.9,-163.45240843749522,-4103.033706497391,-4876.373930855002,0.4248597817348462,0.2930908307410632,22
-105.50584580117246,-16.13,-1637.180760461381,-5901.145018129579,-1771.0876975970314,0.3187645511579673,0.07721577784725343,23
-107.88149945122235,30.52,-1686.2400778062693,-5226.469162739677,3237.474245601209,0.4761621369435276,0.298872842812206,24
-104.48151283714452,5.85,-1585.8787241388197,-6140.310634755088,649.768405693444,0.453070676681368,0.09422511568821375,25
-107.10538667635123,15.74,-1804.7692897516354,-5864.53237638157,1729.361968224613,0.14816514448330997,0.15502476146119318,26
-99.37095920395808,-27.16,-923.5585995061493,-5596.367647916092,-2910.040147942352,0.26998206056593266,0.04384408872381399,27
-118.49353756697157,24.52,-2766.984014978609,-5097.521623146472,2645.6941929117615,0.7491253776060169,0.25496083395130514,28
-107.68001417211043,-41.06,-1459.8563862355843,-4579.849558541421,-4187.412369554154,0.4320831514405413,0.254109948519988,29
-108.02532525005822,24.36,-1797.0404801545358,-5522.415099137144,2629.487019459887,0.8197705633819633,0.036002187670245586,30
-96.59976373944787,-35.22,-598.5731486551002,-5173.503405332329,-3676.57417995665,0.3012062833647775,0.2879141019751309,31
-117.79417231224015,20.1,-2791.590302199333,-5296.027763596175,2190.8305529833024,0.8598259788956376,0.23672622544621993,32
-105.06084895110594,-18.2,-1573.638326280382,-5848.0482564395215,-1991.135105515482,0.08558805027427285,0.004397077304250496,33
-107.04451645671878,-31.45,-1594.0997184323144,-5199.612818322395,-3326.1836430406925,0.42662574822448884,0.29162605610474807,34
-91.57368167772327,-54.31,-102.13765161866532,-3717.7688623084887,-5177.681680691781,0.9578856775565544,0.18418667535650965,35
-119.59038431260602,1.42,-3146.9823600597365,-5541.856135081647,157.9797567118972,0.48898295455606666,0.2230891964749943,36
-111.78798157003992,-22.81,-2181.178609341215,-5456.654779857096,-2471.4375346374864,0.5035249857106008,0.13805477404346708,37
-119.01128760394978,-4.87,-3080.598102942704,-5554.964917821584,-541.2070675049035,0.8786767801594682,0.07337629143354837,38
-94.00987399230002,-44.18,-319.70253079401806,-4560.6644033605435,-4442.831922515628,0.9432412228480098,0.19448348587974332,39
-117.3347511448944,36.55,-2351.6308978259895,-4549.428979415123,3796.4658673097542,0.9323494884430414,0.10962109405652286,40
-117.11025988764345,51.44,-1810.8564724056455,-3537.161799336672,4984.968429354387,0.8627614108900089,0.14886945224593287,41
-108.78430540599534,43.75,-1482.8619793486132,-4359.792705224011,4408.395730611967,0.9208915652760894,0.239555351808257,42
-108.11928492883752,25.46,-1790.0625420516503,-5470.467321192255,2740.4905369862545,0.686092554939545,0.2062050894921727,43
-112.65608442028936,-30.08,-2124.932388556656,-5090.77095496735,-3195.2055376960843,0.7344838135045564,0.1099495797693059,44
-118.71426209311493,56.34,-1697.607392643297,-3098.911812615606,5306.17562073423,0.699594131836612,0.06560403097317338,45
-103.80890297479627,-25.13,-1377.5868911156956,-5604.769420594228,-2707.2936854722725,0.3679526893078727,0.052245911607310846,46
-115.32326507959421,-18.64,-2583.7163350884553,-5460.154712473166,-2037.5832291354768,0.3390869284523861,0.24268924464137173,47
-122.58678296077665,34.69,-2823.1108025565995,-4416.619668501801,3628.2421501729,0.020133825105439263,0.07989455751759697,48
-99.00701291110096,-52.93,-601.6090573637778,-3795.4033999491644,-5086.610322577521,0.30085665388315785,0.053269984303378225,49
-102.45476688938135,-37.29,-1093.8327851462395,-4952.460373810619,-3862.2909113600977,0.3811070187309006,0.22863856111103484,50
-106.20077571126724,-17.69,-1694.5468268947257,-5832.37370149764,-1937.1507575663131,0.8307714619451249,0.07891956534209676,51
-109.53691998547315,-23.61,-1953.436054935734,-5505.0571683693215,-2553.244632279224,0.797328331308448,0.2513268686983089,52
-102.22358323841677,-37.24,-1074.5543881665465,-4960.125754770936,-3857.8634454487983,0.6953349951185551,0.06452757220721754,53
-109.85259096274739,43.4,-1573.0043102726454,-4356.636359112966,4380.182881378197,0.4089649133618726,0.2720854240777107,54
-117.16525752389822,37.12,-2320.8033796672207,-4522.538254563198,3847.225546928288,0.29110528588506623,0.19000948219726407,55
-105.87000078618826,-16.39,-1672.4383875085675,-5882.829231298347,-1798.8593817665264,0.7011698898482698,0.061922392208309515,56
-112.25516695683518,17.27,-2305.566344612279,-5634.104965256451,1892.5776261659091,0.41752993828129314,0.040696348298341685,57
-107.03981335219524,-51.95,-1151.4047437900142,-3756.7367117721437,-5020.141571151283,0.24863725133214143,0.011721717235847362,58
-91.93365096457674,-50.0,-138.2676855485152,-4095.4376215351526,-4883.533324883485,0.4624978015434349,0.07874924234138198,59
-104.92751614535173,13.2,-1598.7918044277478,-5997.109315669059,1455.7367969554302,0.7027195877643095,0.26238403583170755,60
-100.98911009457842,-18.38,-1153.2249610424005,-5938.854292766838,-2010.1509591355716,0.970468234075243,0.21627454539086938,61
-114.33207591495093,-30.84,-2255.2529571457235,-4987.385277926741,-3268.0953457335177,0.8926431617858832,0.1331573876676521,62
-110.95672546542491,-38.64,-1780.9512213187031,-4650.030982685767,-3980.7096863933507,0.3075046111833817,0.2520341912622047,63
-98.78513308857475,-39.84,-747.6039515990441,-4837.529981157937,-4084.117654151455,0.1548174697275756,0.027215672088871788,64
-125.61808159208383,54.32,-2165.443140224109,-3022.643208118851,5178.330719727095,0.7558561144427489,0.07532813080377469,65
-104.66720034509396,-17.37,-1540.5649809106371,-5886.010181667864,-1903.1995903987658,0.9490837956236418,0.17485722506839727,66
-122.33216412344919,38.18,-2680.131144288494,-4234.283657242439,3940.6045170029984,0.6623214411757442,0.13031209856771067,67
-118.14244605544654,11.64,-2945.0286770884336,-5505.727980202242,1286.2311219780443,0.5705920188693456,0.27794610171146567,68
-104.50185540924663,-12.92,-1555.9573597196488,-6015.637058729226,-1425.3885338313376,0.1843221056135167,0.13035781975586455,69
-107.91596550900549,32.19,-1659.6422825766106,-5133.460208678072,3396.14469359048,0.2904776875389865,0.002045111217997353,70
-109.55711686408614,-57.75,-1138.7377758740906,-3205.5372023944783,-5391.51486336283,0.7506571735862244,0.03580007060968765,71
-123.64650181496756,44.84,-2504.5930288469076,-3763.0859283905384,4495.200001713004,0.9340193212675254,0.17340681468658808,72
-102.52466766388658,-3.83,-1379.39440014112,-6209.393508546286,-425.8266606056493,0.7912601443862635,0.1438516213573619,73
-122.91614821550806,39.11,-2688.033947912107,-4152.50119680021,4021.421677149125,0.2042472135250898,0.07413631594829956,74
-121.0234092007068,29.51,-2859.35829423133,-4754.3702677254405,3140.168546842483,0.5360062134881257,0.10785923253031897,75
-109.4721530960918,13.68,-2064.812473814727,-5839.869187790989,1507.6811060262448,0.7492157693885987,0.2889575760819054,76
