lambda,phi,x,y,z,r_mean,r_std
-110.61187195028272,23.83,-2052.9026483448706,-5458.224717671583,2575.6549939418496,0.6509409058100604,0.21942339813890901
-114.05380847161152,-26.52,-2325.0054265263634,-5208.876940241354,-2846.5023780149627,0.7123288117632921,0.2756514142561877
-101.43509450318476,1.39,-1263.5211376148168,-6246.617079156701,154.64281809499656,0.4479256016054357,0.22100275434094352
-103.14241691467653,-16.83,-1387.4135034456901,-5942.123447181732,-1845.7729299428042,0.8242187317691981,0.2992994695861122
-100.68484721527524,-58.33,-620.5640310069379,-3289.009902242742,-5425.67407299495,0.9720510072093079,0.11535624782793076
-96.44548747422252,-50.5,-455.20545298689586,-4029.3674542921185,-4919.106719096715,0.03874234367194551,0.06801986994755319
-124.78296897548645,48.96,-2387.8335162205603,-3437.822251460373,4808.352552192662,0.2955553567744077,0.19622963085360814
-116.6083225697655,-8.8,-2821.6807392918136,-5632.722480927492,-975.2847063107428,0.9447593175421161,0.05360789829240183
-108.28613876052718,-18.17,-1900.4966525688717,-5751.237873858975,-1987.9638809255584,0.43136758212074944,0.06608044696571648
-105.57228224854482,-7.7,-1695.9619632968956,-6085.617915454525,-854.1619320416117,0.20130452762694462,0.09123277477986531
-98.21439439032098,-30.6,-784.002259557466,-5430.933452250985,-3245.1390254086173,0.14115805341735,0.21965797563821265
-111.78531343651255,16.25,-2271.432485864003,-5683.210773929323,1783.909964447574,0.27244970287414505,0.27600587625089723
-113.75026067383169,35.05,-2101.9169776229805,-4776.9107536271695,3661.10552580247,0.23002784373215135,0.1648517745423482
-117.05496535073175,22.77,-2673.656699215407,-5234.925578950683,2467.3343992228606,0.545918253741252,0.0024717221090162166
-104.52424082458839,-9.05,-1578.8810830702264,-6094.442035852478,-1002.7640785136359,0.8189916856830346,0.07001102025292742
-101.51356906630635,3.82,-1269.6229602199924,-6232.840318873666,424.7164916800979,0.4641387456376198,0.1285717529740292
-116.71767601095128,-12.49,-2798.3341511778394,-5559.594634066082,-1378.7162446331836,0.8890394944218014,0.13374342251150345
-105.0365522139032,11.72,-1619.4189160430665,-6028.367696266878,1294.9479885184119,0.8201183789941651,0.1801045401252774
-123.38507403120738,46.59,-2410.698420787294,-3658.089301069592,4631.148970764581,0.07344894980873762,0.16496400712892578
-101.16173334284883,-12.07,-1206.7853762540137,-6116.14748825832,-1333.0543715583774,0.8200891226266587,0.10815572299194702
-102.85761458465825,-3.87,-1415.3873183178182,-6200.981686020869,-430.26720625546534,0.23412388253023453,0.20653311739432226
-109.18361002062198,40.4,-1595.2724244596297,-4585.221269309469,4131.764369277459,0.4209341951817793,0.2824836711601435
-107.3957922471229,-44.43,-1361.0424269343837,-4344.209661676332,-4462.738052752209,0.36134902979300754,0.22356985891566958
-116.29054260582905,8.51,-2792.547370006738,-5652.639043769288,943.3854075209548,0.7401579839773478,0.2873934358201239
-102.88153803661234,-10.71,-1396.4600283480222,-6106.305573133825,-1184.7179566213292,0.37938461094697074,0.0179826269999384
-113.41165695825711,54.0,-1488.8647968136459,-3438.643951225452,5157.48333914029,0.7141865015579295,0.16618319426064954
-124.13916758993015,54.95,-2054.6304644208244,-3030.21242254322,5218.901352673627,0.07561385199597115,0.2085259537787129
-108.28894471530018,-4.94,-1993.102874646226,-6030.489290314936,-548.967075947004,0.7402199477563283,0.10921264761847342
-106.99704362424747,-57.24,-1008.4092409149024,-3298.9668086667425,-5361.021712150828,0.12823222142848012,0.2671543864274221
-97.86109308390155,-19.9,-819.8568658555276,-5938.005431753248,-2169.9196326081947,0.007470963762751692,0.22162561894650698
-94.34756733047564,-36.31,-389.42851221513746,-5122.352132048366,-3774.9806713642224,0.6228969922519363,0.1885974657863848
-108.22568593557293,9.56,-1966.159725779671,-5971.085617904491,1058.7622378873173,0.9955474117673839,0.0336843185402798
-109.67356119406286,40.74,-1626.1399382732693,-4548.244700750424,4160.500455864449,0.638861821826247,0.21161353437565245
-115.61606946199069,27.37,-2447.6241393255646,-5104.910898789434,2930.809749542205,0.514607558530189,0.13401351393992103
-103.36249015451521,-17.34,-1406.3740572107401,-5920.530829168086,-1900.0136083920172,0.7142719766646971,0.10445688156722428
-111.10071192640945,40.1,-1755.5355789357145,-4549.408482936338,4106.288139728839,0.7627621673452326,0.16019267906723086
-119.54704520698486,36.96,-2512.034594550167,-4431.512139194443,3833.015439044757,0.08655879567208791,0.15920455386806343
-109.05293116592384,-53.18,-1247.1884091541388,-3611.2570396431584,-5103.329174734793,0.7029864172417704,0.07391166109884369
-104.44046621087644,-52.4,-969.9835485233164,-3766.7899845278735,-5050.846476389341,0.668677778984845,0.14462822152769325
-95.40612143330284,-38.53,-469.85315797141374,-4964.865530556956,-3971.1425652363178,0.5328043980817713,0.07697046394613728
-108.89109072533678,29.27,-1800.5107293600415,-5261.531086354166,3116.9017855537454,0.043955536230198655,0.1613579882690979
-112.01331627507899,58.83,-1236.7503830406295,-3059.0175020400407,5454.675555178471,0.5777280193735229,0.07604727165068234
-124.18753898625478,45.81,-2496.891073448581,-3675.783007198428,4571.080753095932,0.9144918656037766,0.2549591397843254
-118.05307292847164,44.14,-2151.55293070329,-4037.45585798997,4439.639082308894,0.12449987893717718,0.285622515008764
-108.84679240539664,-35.01,-1686.7323559689441,-4941.511597726561,-3657.461153431618,0.2934411163263171,0.024437918237116628
-105.4895550472892,-9.19,-1680.671387006585,-6064.598175748018,-1018.1442214201219,0.5105025443929541,0.27940080104631865
-101.60990470544652,-48.49,-850.2769193168056,-4138.593834276683,-4773.85538483982,0.41487302036537044,0.130177551004945
-99.12304536007817,-17.11,-966.0536175410057,-6015.77930839117,-1875.5705054112452,0.5908092265546481,0.07548160858396448
-110.5629114801347,-24.37,-2039.6206505234197,-5437.006469920831,-2630.5005698530945,0.2777322451672719,0.043843324703868446
-103.57214994097788,-47.74,-1006.066744125643,-4167.443719317722,-4718.142383680647,0.9173514257918165,0.13146527316838305
