t,x_ECI,y_ECI,z_ECI,vx_ECI,vy_ECI,vz_ECI,x_ECEF,y_ECEF,z_ECEF,vx_ECEF,vy_ECEF,vz_ECEF,lambda,phi
0,-154.25876501631274,-3855.024697627812,-5907.30844075773,-2.1833899086991537,-6.00107288993392,3.965545055681713,-154.25876501631274,-3855.024697627812,-5907.30844075773,-2.4645027759035734,-5.989824162071857,3.965545055681713,-92.29146738980246,-56.851129566639585
30,-219.65836045427375,-4033.024933890804,-5785.3692277141845,-2.177025735273753,-5.866815811623891,4.164558186373163,-228.48061332234266,-4032.5347514979,-5785.3692277141845,-2.4839478165285658,-5.846021497588683,4.164558186373163,-93.24287179655329,-55.07953482339887
60,-284.83551785082534,-4206.912939345677,-5657.520633403852,-2.168439576843054,-5.726577206751576,4.359309123804462,-303.2391107572666,-4205.626444796372,-5657.520633403852,-2.5002470258757703,-5.6962643816921155,4.359309123804462,-94.12407190179262,-53.302873691609534
90,-349.72371319817364,-4376.51123268622,-5523.893148342494,-2.157640384874477,-5.580500769709515,4.549599359117438,-378.4385996932716,-4374.121794333575,-5523.893148342494,-2.513358217337314,-5.540718045295621,4.549599359117438,-94.94478119099448,-51.52186624350684
120,-414.2567174218145,-4541.646710962885,-5384.623161354248,-2.1446393699028174,-5.428736134212714,4.735234972910502,-453.98220690960807,-4537.847907426886,-5384.623161354248,-2.5232431618996043,-5.3795537003515665,4.735234972910502,-95.71306106369191,-49.73710747826595
150,-478.36866397820063,-4702.1508262628295,-5239.852820364398,-2.1294499893197143,-5.271438718376194,4.916026831922859,-529.7719646718939,-4696.637162592846,-5239.852820364398,-2.5298676519769816,-5.2129483476681715,4.916026831922859,-96.43565518368769,-47.94909325217141
180,-541.9941160823793,-4857.859757740785,-5089.729887314045,-2.112087932871903,-5.1087695639762085,5.091790780689661,-605.7089337010042,-4850.32738435047,-5089.729887314045,-2.5332015603098763,-5.041084578727956,5.091790780689661,-97.11824711313987,-46.1582400844836
210,-605.0681334969897,-5008.6145788251515,-4934.407587344753,-2.0925711058861616,-4.940895170067788,5.262347827978178,-681.6933278804569,-4998.7620119502235,-4934.407587344753,-2.5332188938459153,-4.864150371737957,5.262347827978178,-97.76566071808924,-44.36490044800452
240,-667.5263388144598,-5154.261419428716,-4774.044452407074,-2.0709196102411958,-4.767987321136571,5.427524327821005,-757.6246405486496,-5141.790261850039,-4774.044452407074,-2.529897842528648,-4.682338882147584,5.427524327821005,-98.38201746408083,-42.56937469227487
270,-729.3049831647351,-5294.651622998377,-4608.80415945264,-2.0471557231089452,-4.590222909968148,5.5871521549683205,-833.4017722199004,-5279.267283766659,-4608.80415945264,-2.523220822924808,-4.495848227875492,5.5871521549683205,-98.97086093204298,-40.77192042839284
300,-790.3410112814851,-5429.641898243602,-4438.855363374909,-2.02130387349003,-4.407783755422931,5.741068874587406,-908.9231595760835,-5411.05431013791,-4438.855363374909,-2.513174516627355,-4.304881269491876,5.741068874587406,-99.53525618581271,-38.97275998102242
330,-850.5721258603724,-5559.094465388755,-4264.371524869107,-1.9933906165702608,-4.220856415309419,5.889117906044055,-984.0869055686435,-5537.018798838853,-4264.371524869107,-2.4997499033779493,-4.109645385607449,5.889117906044055,-100.07786968182616,-37.17208635477197
360,-909.9368511436944,-5682.8771968000165,-4085.5307333870724,-1.9634446059272572,-4.0296319945530765,6.0311486806069015,-1058.7909104689757,-5657.034569002313,-4085.5307333870724,-2.4829422888589683,-3.9103522437247795,6.0311486806069015,-100.60103400254823,-35.37006804855374
390,-968.3745956665103,-5800.863751843365,-3902.5155253676644,-1.9314965636183672,-3.834305948862395,6.16701679292239,-1132.933003703571,-5770.981929802048,-3902.5155253676644,-2.4627513271116754,-3.7072175668119067,6.16701679292239,-101.1068006630395,-33.566852969225486
420,-1025.8257141001877,-5912.933705835969,-3715.5126979283314,-1.897579248183118,-3.6350778840977225,6.29658414611476,-1206.4110763088902,-5878.7478020646095,-3715.5126979283314,-2.439181037543712,-3.5004608958619996,6.29658414611476,-101.59698347719966,-31.762571635551232
450,-1082.231568130275,-6018.972672959378,-3524.713118207916,-1.861727420595465,-3.432151351552184,6.419719090372362,-1279.1232138397856,-5980.225832584054,-3524.713118207916,-2.4122398164956427,-3.290305348706334,6.419719090372362,-102.07319440161267,-29.957339818967206
480,-1137.534586306543,-6118.8724230090675,-3330.3115285553577,-1.8239778082030735,-3.225733639357662,6.536296554888473,-1350.9678295642448,-6075.316501021731,-3330.3115285553577,-2.3819404433429088,-3.0769773753511545,6.536296554888473,-102.53687334763396,-28.151260734408716
510,-1191.6783228041152,-6212.530991861154,-3132.506347763098,-1.7843690666928098,-3.0160355602320923,6.646198173031896,-1421.8437977764725,-6163.927219281644,-3132.506347763098,-2.348300081116172,-2.860706510111872,6.646198173031896,-102.98931312878139,-26.3444268694499
540,-1244.6075150357203,-6299.852785543558,-2931.499468548073,-1.7429417401234761,-2.803271235787446,6.749312400629732,-1491.6505870597434,-6245.972423260339,-2931.499468548073,-2.311340271629647,-2.6417251208206713,6.749312400629732,-103.4316804636395,-24.536921521045528
570,-1296.2681400562471,-6380.748677805375,-2727.496051486988,-1.6997382190686676,-2.587657877620618,6.845534627251899,-1560.2883933300682,-6321.3736568786535,-2727.496051486988,-2.2710869251136687,-2.4202681553858603,6.845534627251899,-103.86503376485342,-22.728820094672763
600,-1346.6074697020422,-6455.136101084861,-2520.704315616219,-1.6548026969143992,-2.369415565412112,6.9347672803943015,-1627.6582724915686,-6390.059648311287,-2520.704315616219,-2.2275703043543778,-2.196572885983314,6.9347672803943015,-104.2903382981576,-20.920191209517917
630,-1395.574124408678,-6522.939130783222,-2311.3353259100377,-1.6081811243578659,-2.1487670222597495,7.016919922464861,-1693.6622725345103,-6451.966378338875,-2311.3353259100377,-2.1808250033500123,-1.9708786511619718,7.016919922464861,-104.70847918131132,-19.11109764471358
660,-1443.1181256522432,-6584.088562758142,-2099.602777854099,-1.5599211621553843,-1.9259373874768442,7.091909340484017,-1758.20356490716,-6507.037140755874,-2099.602777854099,-2.1308899204999117,-1.7434265961467343,7.091909340484017,-105.12027260357627,-17.301597154899248
